target,target_role,call_site,file_offset,instruction_bytes_le
0x800137E4,io_wait_pump,0x80012C94,0x00003494,f94d000c
0x80014A5C,disc_scheduler_tick,0x80013130,0x00003930,9752000c
0x80013940,request_geometry,0x800139D4,0x000041D4,504e000c
0x80013940,request_geometry,0x80013AC4,0x000042C4,504e000c
0x8007E3D0,CD_getsector_wrapper,0x80013CCC,0x000044CC,f4f8010c
0x8007E3D0,CD_getsector_wrapper,0x80013DF8,0x000045F8,f4f8010c
0x8007E3D0,CD_getsector_wrapper,0x80013F60,0x00004760,f4f8010c
0x8007B468,psyq_DsPacket,0x800140D8,0x000048D8,1aed010c
0x8007B468,psyq_DsPacket,0x8001416C,0x0000496C,1aed010c
0x8007B468,psyq_DsPacket,0x80014340,0x00004B40,1aed010c
0x8007B468,psyq_DsPacket,0x80014798,0x00004F98,1aed010c
0x8007B468,psyq_DsPacket,0x80014958,0x00005158,1aed010c
0x8007B468,psyq_DsPacket,0x80014A1C,0x0000521C,1aed010c
0x8001455C,disc_state_machine,0x80014B08,0x00005308,5751000c
0x80013998,request_descriptor,0x80014DDC,0x000055DC,664e000c
0x80013998,request_descriptor,0x80014EB8,0x000056B8,664e000c
0x80013998,request_descriptor,0x80014F7C,0x0000577C,664e000c
0x80013998,request_descriptor,0x80015108,0x00005908,664e000c
0x80014E1C,record_request_wrapper,0x800179D4,0x000081D4,8753000c
0x800137E4,io_wait_pump,0x800179DC,0x000081DC,f94d000c
0x800137E4,io_wait_pump,0x80017A1C,0x0000821C,f94d000c
0x80014E1C,record_request_wrapper,0x80017A64,0x00008264,8753000c
0x800137E4,io_wait_pump,0x80017A6C,0x0000826C,f94d000c
0x80014E1C,record_request_wrapper,0x80017AE8,0x000082E8,8753000c
0x800137E4,io_wait_pump,0x80017BB4,0x000083B4,f94d000c
0x800245A0,two_side_deck_setup,0x80017D94,0x00008594,6891000c
0x80014E1C,record_request_wrapper,0x80020FD0,0x000117D0,8753000c
0x80014E1C,record_request_wrapper,0x80021124,0x00011924,8753000c
0x80021558,rank_threshold_lookup,0x80021660,0x00011E60,5685000c
0x80021558,rank_threshold_lookup,0x80021680,0x00011E80,5685000c
0x80021558,rank_threshold_lookup,0x800216B8,0x00011EB8,5685000c
0x80021558,rank_threshold_lookup,0x800216F0,0x00011EF0,5685000c
0x80021558,rank_threshold_lookup,0x8002171C,0x00011F1C,5685000c
0x80021558,rank_threshold_lookup,0x8002173C,0x00011F3C,5685000c
0x80021558,rank_threshold_lookup,0x8002175C,0x00011F5C,5685000c
0x80021558,rank_threshold_lookup,0x80021788,0x00011F88,5685000c
0x80021558,rank_threshold_lookup,0x800217A8,0x00011FA8,5685000c
0x80021558,rank_threshold_lookup,0x800217C8,0x00011FC8,5685000c
0x80021598,rank_score_builder,0x80021A2C,0x0001222C,6685000c
0x80021810,weighted_reward_roll,0x80021C60,0x00012460,0486000c
0x80021894,inventory_and_history_update,0x80021F14,0x00012714,2586000c
0x800137E4,io_wait_pump,0x800223C8,0x00012BC8,f94d000c
0x800243F4,deck_builder,0x800245C0,0x00014DC0,fd90000c
0x800243F4,deck_builder,0x800245D0,0x00014DD0,fd90000c
0x80014E1C,record_request_wrapper,0x80024F38,0x00015738,8753000c
0x80014E1C,record_request_wrapper,0x8002C070,0x0001C870,8753000c
0x800137E4,io_wait_pump,0x8002C078,0x0001C878,f94d000c
0x800179F4,duel_asset_loader,0x8002D014,0x0001D814,7d5e000c
0x800137E4,io_wait_pump,0x8002D084,0x0001D884,f94d000c
0x800137E4,io_wait_pump,0x8002D168,0x0001D968,f94d000c
