call_site,cpu_address,mnemonic,operands,instruction_bytes_le
0x800179D4,0x8001799C,move,"$a1, $a0",21288000
0x800179D4,0x800179A0,lui,"$v1, 0x800a",0a80033c
0x800179D4,0x800179A4,lbu,"$v1, -0x4c9c($v1)",64b36390
0x800179D4,0x800179A8,addiu,"$a3, $zero, 0xeb",eb000724
0x800179D4,0x800179AC,sw,"$ra, 0x20($sp)",2000bfaf
0x800179D4,0x800179B0,sw,"$v0, 0x10($sp)",1000a2af
0x800179D4,0x800179B4,sw,"$zero, 0x14($sp)",1400a0af
0x800179D4,0x800179B8,sw,"$zero, 0x18($sp)",1800a0af
0x800179D4,0x800179BC,sll,"$a2, $v1, 4",00310300
0x800179D4,0x800179C0,subu,"$a2, $a2, $v1",2330c300
0x800179D4,0x800179C4,sll,"$a2, $a2, 2",80300600
0x800179D4,0x800179C8,subu,"$a2, $a2, $v1",2330c300
0x800179D4,0x800179CC,sll,"$a2, $a2, 2",80300600
0x800179D4,0x800179D0,subu,"$a2, $a2, $v1",2330c300
0x800179D4,0x800179D4,jal,0x80014e1c,8753000c
0x800179D4,0x800179D8,addiu,"$a2, $a2, 0x16c6",c616c624
0x80017A64,0x80017A2C,addiu,"$a3, $zero, 0xeb",eb000724
0x80017A64,0x80017A30,lui,"$v0, 0x8001",0180023c
0x80017A64,0x80017A34,lui,"$v1, 0x800a",0a80033c
0x80017A64,0x80017A38,lbu,"$v1, -0x4c9c($v1)",64b36390
0x80017A64,0x80017A3C,addiu,"$v0, $v0, 0x71a8",a8714224
0x80017A64,0x80017A40,sw,"$v0, 0x10($sp)",1000a2af
0x80017A64,0x80017A44,sw,"$zero, 0x14($sp)",1400a0af
0x80017A64,0x80017A48,sw,"$zero, 0x18($sp)",1800a0af
0x80017A64,0x80017A4C,sll,"$a2, $v1, 4",00310300
0x80017A64,0x80017A50,subu,"$a2, $a2, $v1",2330c300
0x80017A64,0x80017A54,sll,"$a2, $a2, 2",80300600
0x80017A64,0x80017A58,subu,"$a2, $a2, $v1",2330c300
0x80017A64,0x80017A5C,sll,"$a2, $a2, 2",80300600
0x80017A64,0x80017A60,subu,"$a2, $a2, $v1",2330c300
0x80017A64,0x80017A64,jal,0x80014e1c,8753000c
0x80017A64,0x80017A68,addiu,"$a2, $a2, 0x16c6",c616c624
0x80017AE8,0x80017AB0,lui,"$v0, 0x800a",0a80023c
0x80017AE8,0x80017AB4,lb,"$v0, -0x4c9f($v0)",61b34280
0x80017AE8,0x80017AB8,nop,,00000000
0x80017AE8,0x80017ABC,bltz,"$v0, 0x80017af0",0c004004
0x80017AE8,0x80017AC0,sllv,"$a2, $v0, $s0",04300202
0x80017AE8,0x80017AC4,move,"$a0, $zero",21200000
0x80017AE8,0x80017AC8,move,"$a1, $a0",21288000
0x80017AE8,0x80017ACC,addu,"$a2, $a2, $v0",2130c200
0x80017AE8,0x80017AD0,addiu,"$a2, $a2, 0x1d33",331dc624
0x80017AE8,0x80017AD4,addiu,"$a3, $zero, 3",03000724
0x80017AE8,0x80017AD8,lui,"$v0, 0x8018",1880023c
0x80017AE8,0x80017ADC,addiu,"$v0, $v0, -0x7e28",d8814224
0x80017AE8,0x80017AE0,sw,"$zero, 0x10($sp)",1000a0af
0x80017AE8,0x80017AE4,sw,"$zero, 0x14($sp)",1400a0af
0x80017AE8,0x80017AE8,jal,0x80014e1c,8753000c
0x80017AE8,0x80017AEC,sw,"$v0, 0x18($sp)",1800a2af
0x80020FD0,0x80020F98,sb,"$zero, -0x4c9e($at)",62b320a0
0x80020FD0,0x80020F9C,beqz,"$v1, 0x80020fac",03006010
0x80020FD0,0x80020FA0,addiu,"$v0, $zero, 1",01000224
0x80020FD0,0x80020FA4,lui,"$at, 0x800a",0a80013c
0x80020FD0,0x80020FA8,sb,"$v0, -0x4c9e($at)",62b322a0
0x80020FD0,0x80020FAC,move,"$a0, $zero",21200000
0x80020FD0,0x80020FB0,move,"$a1, $a0",21288000
0x80020FD0,0x80020FB4,addiu,"$a2, $zero, 0x1dab",ab1d0624
0x80020FD0,0x80020FB8,addiu,"$a3, $zero, 0x22",22000724
0x80020FD0,0x80020FBC,lui,"$v0, 0x8002",0280023c
0x80020FD0,0x80020FC0,addiu,"$v0, $v0, 0xbe4",e40b4224
0x80020FD0,0x80020FC4,sb,"$v1, 0x330($gp)",300383a3
0x80020FD0,0x80020FC8,sw,"$v0, 0x10($sp)",1000a2af
0x80020FD0,0x80020FCC,sw,"$zero, 0x14($sp)",1400a0af
0x80020FD0,0x80020FD0,jal,0x80014e1c,8753000c
0x80020FD0,0x80020FD4,sw,"$zero, 0x18($sp)",1800a0af
0x80021124,0x800210EC,sb,"$v0, 0x26c($gp)",6c0282a3
0x80021124,0x800210F0,addiu,"$v0, $zero, 8",08000224
0x80021124,0x800210F4,sh,"$v0, 0x25a($gp)",5a0282a7
0x80021124,0x800210F8,bgez,"$v1, 0x80021104",02006104
0x80021124,0x800210FC,move,"$a0, $zero",21200000
0x80021124,0x80021100,addiu,"$v1, $zero, 1",01000324
0x80021124,0x80021104,move,"$a1, $a0",21288000
0x80021124,0x80021108,sll,"$a2, $v1, 1",40300300
0x80021124,0x8002110C,addu,"$a2, $a2, $v1",2130c300
0x80021124,0x80021110,addiu,"$a2, $a2, 0x1d33",331dc624
0x80021124,0x80021114,addiu,"$a3, $zero, 3",03000724
0x80021124,0x80021118,addiu,"$v0, $s0, -0x1800",00e80226
0x80021124,0x8002111C,sw,"$zero, 0x10($sp)",1000a0af
0x80021124,0x80021120,sw,"$zero, 0x14($sp)",1400a0af
0x80021124,0x80021124,jal,0x80014e1c,8753000c
0x80021124,0x80021128,sw,"$v0, 0x18($sp)",1800a2af
0x80024F38,0x80024F00,ori,"$v0, $a3, 0x40",4000e234
0x80024F38,0x80024F04,lui,"$v1, 0x800a",0a80033c
0x80024F38,0x80024F08,lbu,"$v1, -0x4c9c($v1)",64b36390
0x80024F38,0x80024F0C,addiu,"$a3, $zero, 0x10",10000724
0x80024F38,0x80024F10,sh,"$v0, 0x318($gp)",180382a7
0x80024F38,0x80024F14,sw,"$zero, 0x10($sp)",1000a0af
0x80024F38,0x80024F18,sw,"$zero, 0x14($sp)",1400a0af
0x80024F38,0x80024F1C,sw,"$a2, 0x18($sp)",1800a6af
0x80024F38,0x80024F20,sll,"$a2, $v1, 4",00310300
0x80024F38,0x80024F24,subu,"$a2, $a2, $v1",2330c300
0x80024F38,0x80024F28,sll,"$a2, $a2, 2",80300600
0x80024F38,0x80024F2C,subu,"$a2, $a2, $v1",2330c300
0x80024F38,0x80024F30,sll,"$a2, $a2, 2",80300600
0x80024F38,0x80024F34,subu,"$a2, $a2, $v1",2330c300
0x80024F38,0x80024F38,jal,0x80014e1c,8753000c
0x80024F38,0x80024F3C,addiu,"$a2, $a2, 0x1791",9117c624
0x8002C070,0x8002C038,sh,"$v0, 0x2e($v1)",2e0062a4
0x8002C070,0x8002C03C,addiu,"$v0, $s3, 1",01006226
0x8002C070,0x8002C040,sh,"$v0, ($a0)",000082a4
0x8002C070,0x8002C044,addiu,"$s3, $s3, -1",ffff7326
0x8002C070,0x8002C048,bgez,"$s3, 0x8002c03c",fcff6106
0x8002C070,0x8002C04C,addiu,"$a0, $a0, -2",feff8424
0x8002C070,0x8002C050,move,"$a0, $zero",21200000
0x8002C070,0x8002C054,move,"$a1, $a0",21288000
0x8002C070,0x8002C058,addiu,"$a2, $zero, 0x1dcd",cd1d0624
0x8002C070,0x8002C05C,addiu,"$a3, $zero, 0x8a",8a000724
0x8002C070,0x8002C060,lui,"$v0, 0x8003",0380023c
0x8002C070,0x8002C064,addiu,"$v0, $v0, -0x42f4",0cbd4224
0x8002C070,0x8002C068,sw,"$v0, 0x10($sp)",1000a2af
0x8002C070,0x8002C06C,sw,"$zero, 0x14($sp)",1400a0af
0x8002C070,0x8002C070,jal,0x80014e1c,8753000c
0x8002C070,0x8002C074,sw,"$zero, 0x18($sp)",1800a0af
0x8002F69C,0x8002F664,lw,"$v1, 0x388($gp)",8803838f
0x8002F69C,0x8002F668,nop,,00000000
0x8002F69C,0x8002F66C,addiu,"$v0, $v1, 2",02006224
0x8002F69C,0x8002F670,sw,"$v0, 0x388($gp)",880382af
0x8002F69C,0x8002F674,lui,"$v0, 0x8003",0380023c
0x8002F69C,0x8002F678,lbu,"$t0, ($v1)",00006890
0x8002F69C,0x8002F67C,lbu,"$v1, 1($v1)",01006390
0x8002F69C,0x8002F680,addiu,"$v0, $v0, -0xb40",c0f44224
0x8002F69C,0x8002F684,sw,"$v0, 0x10($sp)",1000a2af
0x8002F69C,0x8002F688,sw,"$zero, 0x14($sp)",1400a0af
0x8002F69C,0x8002F68C,sw,"$zero, 0x18($sp)",1800a0af
0x8002F69C,0x8002F690,sll,"$v1, $v1, 8",001a0300
0x8002F69C,0x8002F694,or,"$t0, $t0, $v1",25400301
0x8002F69C,0x8002F698,sh,"$t0, 0x394($gp)",940388a7
0x8002F69C,0x8002F69C,jal,0x80014e1c,8753000c
0x8002F69C,0x8002F6A0,addiu,"$a3, $zero, 0x32",32000724
0x8002FD68,0x8002FD30,addiu,"$s0, $s0, -0x5168",98ae1026
0x8002FD68,0x8002FD34,addiu,"$a2, $zero, 0x1e57",571e0624
0x8002FD68,0x8002FD38,addiu,"$a3, $zero, 0x31",31000724
0x8002FD68,0x8002FD3C,sw,"$ra, 0x30($sp)",3000bfaf
0x8002FD68,0x8002FD40,sw,"$s3, 0x2c($sp)",2c00b3af
0x8002FD68,0x8002FD44,sw,"$s2, 0x28($sp)",2800b2af
0x8002FD68,0x8002FD48,sw,"$s1, 0x24($sp)",2400b1af
0x8002FD68,0x8002FD4C,lui,"$at, 0x800a",0a80013c
0x8002FD68,0x8002FD50,sh,"$zero, -0x4eb8($at)",48b120a4
0x8002FD68,0x8002FD54,lui,"$at, 0x800a",0a80013c
0x8002FD68,0x8002FD58,sh,"$zero, -0x4eba($at)",46b120a4
0x8002FD68,0x8002FD5C,sw,"$zero, 0x398($gp)",980380af
0x8002FD68,0x8002FD60,sw,"$v0, 0x10($sp)",1000a2af
0x8002FD68,0x8002FD64,sw,"$zero, 0x14($sp)",1400a0af
0x8002FD68,0x8002FD68,jal,0x80014e1c,8753000c
0x8002FD68,0x8002FD6C,sw,"$zero, 0x18($sp)",1800a0af
0x80032350,0x80032318,lw,"$ra, 0x10($sp)",1000bf8f
0x80032350,0x8003231C,nop,,00000000
0x80032350,0x80032320,jr,$ra,0800e003
0x80032350,0x80032324,addiu,"$sp, $sp, 0x18",1800bd27
0x80032350,0x80032328,addiu,"$sp, $sp, -0x28",d8ffbd27
0x80032350,0x8003232C,lui,"$v0, 0x8003",0380023c
0x80032350,0x80032330,addiu,"$v0, $v0, 0x2184",84214224
0x80032350,0x80032334,move,"$a0, $zero",21200000
0x80032350,0x80032338,move,"$a1, $a0",21288000
0x80032350,0x8003233C,addiu,"$a2, $zero, 0x2189",89210624
0x80032350,0x80032340,addiu,"$a3, $zero, 0x4c",4c000724
0x80032350,0x80032344,sw,"$ra, 0x20($sp)",2000bfaf
0x80032350,0x80032348,sw,"$v0, 0x10($sp)",1000a2af
0x80032350,0x8003234C,sw,"$zero, 0x14($sp)",1400a0af
0x80032350,0x80032350,jal,0x80014e1c,8753000c
0x80032350,0x80032354,sw,"$zero, 0x18($sp)",1800a0af
0x8003B9E4,0x8003B9AC,lw,"$ra, 0x14($sp)",1400bf8f
0x8003B9E4,0x8003B9B0,lw,"$s0, 0x10($sp)",1000b08f
0x8003B9E4,0x8003B9B4,jr,$ra,0800e003
0x8003B9E4,0x8003B9B8,addiu,"$sp, $sp, 0x18",1800bd27
0x8003B9E4,0x8003B9BC,addiu,"$sp, $sp, -0x28",d8ffbd27
0x8003B9E4,0x8003B9C0,move,"$a0, $zero",21200000
0x8003B9E4,0x8003B9C4,lui,"$v0, 0x8004",0480023c
0x8003B9E4,0x8003B9C8,addiu,"$v0, $v0, -0x47f8",08b84224
0x8003B9E4,0x8003B9CC,move,"$a1, $a0",21288000
0x8003B9E4,0x8003B9D0,addiu,"$a2, $zero, 0x1e88",881e0624
0x8003B9E4,0x8003B9D4,addiu,"$a3, $zero, 0x57",57000724
0x8003B9E4,0x8003B9D8,sw,"$ra, 0x20($sp)",2000bfaf
0x8003B9E4,0x8003B9DC,sw,"$v0, 0x10($sp)",1000a2af
0x8003B9E4,0x8003B9E0,sw,"$zero, 0x14($sp)",1400a0af
0x8003B9E4,0x8003B9E4,jal,0x80014e1c,8753000c
0x8003B9E4,0x8003B9E8,sw,"$zero, 0x18($sp)",1800a0af
0x8003BC20,0x8003BBE8,lw,"$s1, 0x14($sp)",1400b18f
0x8003BC20,0x8003BBEC,lw,"$s0, 0x10($sp)",1000b08f
0x8003BC20,0x8003BBF0,jr,$ra,0800e003
0x8003BC20,0x8003BBF4,addiu,"$sp, $sp, 0x20",2000bd27
0x8003BC20,0x8003BBF8,addiu,"$sp, $sp, -0x28",d8ffbd27
0x8003BC20,0x8003BBFC,lui,"$v0, 0x8004",0480023c
0x8003BC20,0x8003BC00,addiu,"$v0, $v0, -0x45ec",14ba4224
0x8003BC20,0x8003BC04,move,"$a0, $zero",21200000
0x8003BC20,0x8003BC08,move,"$a1, $a0",21288000
0x8003BC20,0x8003BC0C,addiu,"$a2, $zero, 0x1edf",df1e0624
0x8003BC20,0x8003BC10,addiu,"$a3, $zero, 0x50",50000724
0x8003BC20,0x8003BC14,sw,"$ra, 0x20($sp)",2000bfaf
0x8003BC20,0x8003BC18,sw,"$v0, 0x10($sp)",1000a2af
0x8003BC20,0x8003BC1C,sw,"$zero, 0x14($sp)",1400a0af
0x8003BC20,0x8003BC20,jal,0x80014e1c,8753000c
0x8003BC20,0x8003BC24,sw,"$zero, 0x18($sp)",1800a0af
0x8003BEE0,0x8003BEA8,lw,"$s1, 0x14($sp)",1400b18f
0x8003BEE0,0x8003BEAC,lw,"$s0, 0x10($sp)",1000b08f
0x8003BEE0,0x8003BEB0,jr,$ra,0800e003
0x8003BEE0,0x8003BEB4,addiu,"$sp, $sp, 0x20",2000bd27
0x8003BEE0,0x8003BEB8,addiu,"$sp, $sp, -0x28",d8ffbd27
0x8003BEE0,0x8003BEBC,lui,"$v0, 0x8004",0480023c
0x8003BEE0,0x8003BEC0,addiu,"$v0, $v0, -0x42ec",14bd4224
0x8003BEE0,0x8003BEC4,move,"$a0, $zero",21200000
0x8003BEE0,0x8003BEC8,move,"$a1, $a0",21288000
0x8003BEE0,0x8003BECC,addiu,"$a2, $zero, 0x1f2f",2f1f0624
0x8003BEE0,0x8003BED0,addiu,"$a3, $zero, 0x56",56000724
0x8003BEE0,0x8003BED4,sw,"$ra, 0x20($sp)",2000bfaf
0x8003BEE0,0x8003BED8,sw,"$v0, 0x10($sp)",1000a2af
0x8003BEE0,0x8003BEDC,sw,"$zero, 0x14($sp)",1400a0af
0x8003BEE0,0x8003BEE0,jal,0x80014e1c,8753000c
0x8003BEE0,0x8003BEE4,sw,"$zero, 0x18($sp)",1800a0af
0x8003C100,0x8003C0C8,move,"$s0, $zero",21800000
0x8003C100,0x8003C0CC,sw,"$ra, 0x24($sp)",2400bfaf
0x8003C100,0x8003C0D0,jal,0x8002cca8,2ab3000c
0x8003C100,0x8003C0D4,addiu,"$a0, $zero, 0x47",47000424
0x8003C100,0x8003C0D8,beqz,"$v0, 0x8003c0e4",02004010
0x8003C100,0x8003C0DC,move,"$a0, $zero",21200000
0x8003C100,0x8003C0E0,addiu,"$s0, $zero, 0x9e",9e001024
0x8003C100,0x8003C0E4,lui,"$v0, 0x8004",0480023c
0x8003C100,0x8003C0E8,addiu,"$v0, $v0, -0x4100",00bf4224
0x8003C100,0x8003C0EC,move,"$a1, $a0",21288000
0x8003C100,0x8003C0F0,addiu,"$a2, $s0, 0x1fd9",d91f0626
0x8003C100,0x8003C0F4,addiu,"$a3, $zero, 0x9e",9e000724
0x8003C100,0x8003C0F8,sw,"$v0, 0x10($sp)",1000a2af
0x8003C100,0x8003C0FC,sw,"$zero, 0x14($sp)",1400a0af
0x8003C100,0x8003C100,jal,0x80014e1c,8753000c
0x8003C100,0x8003C104,sw,"$zero, 0x18($sp)",1800a0af
0x8003C2DC,0x8003C2A4,lw,"$s1, 0x14($sp)",1400b18f
0x8003C2DC,0x8003C2A8,lw,"$s0, 0x10($sp)",1000b08f
0x8003C2DC,0x8003C2AC,jr,$ra,0800e003
0x8003C2DC,0x8003C2B0,addiu,"$sp, $sp, 0x20",2000bd27
0x8003C2DC,0x8003C2B4,addiu,"$sp, $sp, -0x28",d8ffbd27
0x8003C2DC,0x8003C2B8,move,"$a0, $zero",21200000
0x8003C2DC,0x8003C2BC,move,"$a1, $a0",21288000
0x8003C2DC,0x8003C2C0,addiu,"$a2, $zero, 0x2115",15210624
0x8003C2DC,0x8003C2C4,addiu,"$a3, $zero, 0x32",32000724
0x8003C2DC,0x8003C2C8,lui,"$v0, 0x8004",0480023c
0x8003C2DC,0x8003C2CC,addiu,"$v0, $v0, -0x3ee0",20c14224
0x8003C2DC,0x8003C2D0,sw,"$ra, 0x20($sp)",2000bfaf
0x8003C2DC,0x8003C2D4,sw,"$v0, 0x10($sp)",1000a2af
0x8003C2DC,0x8003C2D8,sw,"$zero, 0x14($sp)",1400a0af
0x8003C2DC,0x8003C2DC,jal,0x80014e1c,8753000c
0x8003C2DC,0x8003C2E0,sw,"$zero, 0x18($sp)",1800a0af
0x8003C308,0x8003C2D0,sw,"$ra, 0x20($sp)",2000bfaf
0x8003C308,0x8003C2D4,sw,"$v0, 0x10($sp)",1000a2af
0x8003C308,0x8003C2D8,sw,"$zero, 0x14($sp)",1400a0af
0x8003C308,0x8003C2DC,jal,0x80014e1c,8753000c
0x8003C308,0x8003C2E0,sw,"$zero, 0x18($sp)",1800a0af
0x8003C308,0x8003C2E4,jal,0x800137e4,f94d000c
0x8003C308,0x8003C2E8,nop,,00000000
0x8003C308,0x8003C2EC,move,"$a0, $zero",21200000
0x8003C308,0x8003C2F0,move,"$a1, $a0",21288000
0x8003C308,0x8003C2F4,addiu,"$a2, $zero, 0x2147",47210624
0x8003C308,0x8003C2F8,addiu,"$a3, $zero, 0x10",10000724
0x8003C308,0x8003C2FC,lui,"$v0, 0x8014",1480023c
0x8003C308,0x8003C300,sw,"$zero, 0x10($sp)",1000a0af
0x8003C308,0x8003C304,sw,"$zero, 0x14($sp)",1400a0af
